"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit"
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,88068.492854,218.308193,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,54425.725308,117.846029,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,11371.244935,19.632245,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,1308.379841,2.060152,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,42139.153658,100.708218,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,20274.383871,31.612533,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,3270.054549,5.745985,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,349.609701,2.305666,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,99537.958274,262.424536,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,77131.529538,138.912046,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,22955.822044,39.556774,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,2894.807491,7.585015,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,51962.822753,75.481836,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,36324.062059,82.856468,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,8482.507148,14.097976,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,1048.745808,1.310260,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,103167.434952,175.536958,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,94686.842171,187.628371,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,52980.248576,139.789301,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,9718.517068,68.558843,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,51902.591247,100.440572,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,44822.071397,110.177628,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,18872.289872,40.990036,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,2719.737074,4.472950,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,95635.536225,680.413507,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,74023.787898,434.160546,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,21738.353376,59.987614,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,2698.545983,6.837791,"ops/s",H2,1000
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,50152.592897,196.000864,"ops/s",H2,1
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,34470.418105,86.290009,"ops/s",H2,10
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,7821.582692,23.368831,"ops/s",H2,100
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,933.455503,1.657916,"ops/s",H2,1000
