"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit"
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,9738.278993,59.573586,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,8185.891561,41.386050,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,3334.138739,9.239324,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqMapperBenchmark._04Fields","thrpt",1,200,526.296619,0.771623,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,7638.043738,43.698074,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,5685.774027,18.713829,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,1623.046527,10.587930,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqMapperBenchmark._16Fields","thrpt",1,200,226.088515,1.787987,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,10015.534824,59.009826,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,8699.863010,28.872046,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,3928.656463,13.776554,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqRecordBenchmark._04Fields","thrpt",1,200,690.802425,1.146652,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,8018.910820,56.899982,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,6595.406939,27.520532,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,2417.633315,5.096793,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqRecordBenchmark._16Fields","thrpt",1,200,416.260656,2.240595,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,9995.047813,63.875563,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,8844.981792,52.027752,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,4335.657592,14.247549,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqSfmBenchmark._04Fields","thrpt",1,200,818.801528,2.637749,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,8036.193045,33.647152,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,6830.017050,24.913136,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,2951.633521,9.768708,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqSfmBenchmark._16Fields","thrpt",1,200,587.020191,2.881301,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,9907.053293,87.249273,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,8559.399102,70.014652,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,3891.786752,17.360745,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._04Fields","thrpt",1,200,677.830633,1.894305,"ops/s",MYSQL,1000
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,7970.963602,64.759909,"ops/s",MYSQL,1
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,6497.955311,33.629687,"ops/s",MYSQL,10
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,2339.564526,6.806688,"ops/s",MYSQL,100
"org.simpleflatmapper.jooq.JooqSfmRecordMapperBenchmark._16Fields","thrpt",1,200,395.591478,2.362949,"ops/s",MYSQL,1000
