"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.857069,0.012039,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,50,1.147962,0.016614,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.673597,0.007755,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.808157,0.009739,"s/op",4,true,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,50,0.902314,0.019115,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,50,1.269961,0.088948,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,50,0.735058,0.013031,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,50,0.926476,0.042412,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.976681,0.009209,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,50,1.233509,0.036542,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.783185,0.007777,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,50,0.893893,0.004719,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,50,1.088056,0.058469,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,50,1.393641,0.083478,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,50,0.956650,0.060660,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,50,0.910844,0.011486,"s/op",4,true,64,true
