"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1264.729457,8.736241,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1195.376640,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1263.534080,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1348.259021,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1356.857344,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1371.537408,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1572.864000,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1572.864000,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1572.864000,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1442.961162,23.769079,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1312.817152,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1417.674752,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1709.178880,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1734.344704,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1744.809492,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1749.024768,NaN,"ms/op",,false,64,true,
