"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"JacksonCsvParserBenchmark.mapCsv","avgt","sample",1,4816186,41.825796,0.238277,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.00","sample",1,1,36.288000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.50","sample",1,1,39.936000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.90","sample",1,1,42.432000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.95","sample",1,1,42.688000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.99","sample",1,1,56.192000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.999","sample",1,1,89.472000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.9999","sample",1,1,117.936806,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","p1.00","sample",1,1,28278.784000,NaN,"us/op",,10,false,64,false,
"JacksonCsvParserBenchmark.mapCsv","avgt","sample",1,4779664,42.022804,0.237180,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.00","sample",1,1,38.144000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.50","sample",1,1,40.320000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.90","sample",1,1,42.304000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.95","sample",1,1,42.688000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.99","sample",1,1,52.288000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.999","sample",1,1,94.336000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p0.9999","sample",1,1,119.684288,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","p1.00","sample",1,1,24117.248000,NaN,"us/op",,10,false,64,true,
"JacksonCsvParserBenchmark.mapCsv","avgt","sample",1,7198028,54.907195,0.083091,"us/op",,10,true,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.00","sample",1,1,49.088000,NaN,"us/op",,10,true,64,false,
"JacksonCsvParserBenchmark.mapCsv","p0.50","sample",1,1,53.696000,NaN,"us/op",,10,true,64,false,
