"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1736.751186,5.229108,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1665.138688,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1732.247552,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1778.384896,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1788.870656,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1830.729810,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1860.173824,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1860.173824,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1860.173824,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,2244.718100,34.445762,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1841.299456,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,2143.289344,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,2532.940186,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,2562.719744,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2604.662784,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2722.103296,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2722.103296,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,2722.103296,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1590.590177,21.711350,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1482.686464,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1556.086784,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1795.791258,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1941.648179,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2134.879764,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2164.260864,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2164.260864,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,2164.260864,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1748.715438,19.792719,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1602.224128,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1744.830464,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1872.337306,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,2023.017677,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2202.009600,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2252.341248,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2252.341248,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,2252.341248,NaN,"ms/op",,true,64,true,
