"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3494.921687,19.893722,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3707.992138,26.824845,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3290.048771,12.248247,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3376.862351,11.683230,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1616.219284,24.170707,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1574.603561,12.865680,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1245.673063,5.078329,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1336.666845,2.747796,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1234.557126,13.348082,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1533.283639,11.047445,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,873.960973,2.417401,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1038.974643,4.188796,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,869.151698,14.445298,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,1116.751215,31.311827,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,553.786364,4.259801,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,695.201681,3.016627,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1524.354807,21.178410,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1550.613438,38.424371,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1146.232775,4.590667,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1215.070866,10.163309,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1145.582588,24.207105,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1257.892578,29.651208,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,734.050876,6.828161,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,817.420455,2.645752,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1175.186869,17.077116,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1215.989436,37.289003,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,779.897369,2.355551,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,832.917773,5.778267,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,773.963287,13.152944,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,865.492089,37.847285,"ms/op",4,-1,false,8192,true,false
