"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.709823,0.020299,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1.050210,0.052539,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.641492,0.016113,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.804540,0.023430,"s/op",4,true,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.729554,0.012466,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1.031955,0.042348,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.750349,0.020142,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.857543,0.036448,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.813119,0.016975,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,1.112574,0.042153,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.768469,0.032283,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.920394,0.052413,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.868368,0.024005,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,1.058002,0.047729,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.990039,0.056375,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.976673,0.036394,"s/op",4,true,64,true
