"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.739606,0.015115,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1.104869,0.051800,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.662629,0.013033,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.838909,0.022281,"s/op",4,true,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.810113,0.034181,"s/op",4,false,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1.120440,0.052953,"s/op",4,false,64,true
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.792966,0.043651,"s/op",4,true,64,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.948068,0.060436,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.791314,0.016081,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,1.175382,0.030749,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.750331,0.025801,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvCallback","avgt",1,100,0.840133,0.019471,"s/op",4,true,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.870135,0.028779,"s/op",4,false,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,1.198359,0.027725,"s/op",4,false,64,true
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,0.883596,0.033703,"s/op",4,true,64,false
"org.simpleflatmapper.SfmTrimConfigurableCsvParserBenchmark.parseCsvIterate","avgt",1,100,1.009155,0.027404,"s/op",4,true,64,true
